Day_of_year,Ne/cm-3,Ne/NF2,Tn/K,Ti/K,Te/K,O+,N+,H+,He+,O2+,NO+,Clust,TEC,t/%,ksp
1,16060,0.021,958,2687,3477,255,23,689,33,0,0,-1,19.5,71,-13
6,16180,0.022,902,2683,3459,284,25,656,35,0,0,-1,19.4,71,-6
11,16200,0.022,953,2685,3445,330,27,606,37,0,0,-1,19.4,72,-40
16,17480,0.022,998,2697,3455,420,31,509,40,0,0,-1,21.1,72,-12
21,16620,0.021,949,2667,3383,364,28,572,36,0,0,-1,20.5,71,-22
26,17140,0.02,971,2663,3361,404,30,530,36,0,0,-1,21.8,71,-20
31,17250,0.019,1032,2664,3398,525,35,401,39,0,0,-1,22.8,71,-12
36,19460,0.018,1033,2648,3353,526,34,401,38,0,0,-1,26.6,71,-4
41,17640,0.018,1019,2632,3288,512,34,418,37,0,0,-1,24.9,71,-2
46,17940,0.017,982,2617,3240,522,34,407,37,0,0,-1,26.1,71,-18
51,19440,0.017,982,2600,3121,475,31,456,38,0,0,-1,27.9,70,-22
56,20020,0.017,986,2587,3090,508,32,421,40,0,0,-1,28.8,69,-9
61,21180,0.017,991,2568,3108,573,34,351,42,0,0,-1,30.4,68,-18
66,22230,0.017,1038,2544,3111,621,36,300,43,0,0,-1,32,68,-7
71,23870,0.017,1079,2514,3114,665,37,255,44,0,0,-1,34.2,67,-25
76,24590,0.017,1035,2518,2950,611,34,308,46,0,0,-1,34.9,66,-12
81,25430,0.017,1015,2501,2952,637,36,282,45,0,0,-1,36.2,66,-14
86,26370,0.017,1080,2471,3119,724,39,198,39,0,0,-1,37.9,66,-1
91,27350,0.017,1258,2446,3213,775,41,150,34,0,0,-1,39.6,66,2
96,28510,0.018,1096,2495,3115,721,41,204,34,0,0,-1,40.6,65,5
101,30390,0.018,1077,2516,3069,697,42,230,32,0,0,-1,42.4,64,11
106,31200,0.018,1090,2489,3205,767,45,161,27,0,0,-1,43.5,64,8
111,31120,0.018,1206,2427,3344,840,46,93,22,0,0,-1,43.9,64,-43
116,31140,0.019,1170,2464,3313,821,47,110,21,0,0,-1,43.3,64,-10
121,31300,0.019,1118,2522,3195,761,49,169,22,0,0,-1,42.3,63,-4
126,31550,0.02,1107,2514,3249,789,51,142,19,0,0,-1,42.2,63,4
131,31540,0.02,1092,2505,3297,813,52,118,17,0,0,-1,42.1,63,-4
136,31410,0.02,1189,2473,3374,850,52,84,15,0,0,-1,42.1,63,0
141,30620,0.02,1196,2473,3386,856,53,77,13,0,0,-1,40.8,63,-13
146,29910,0.021,1132,2532,3283,814,57,117,13,0,0,-1,38.7,63,-11
151,29150,0.021,1056,2557,3216,788,59,141,12,0,0,-1,37,62,-8
156,28560,0.022,1044,2560,3222,793,61,135,11,0,0,-1,35.8,62,-20
161,28000,0.022,1059,2554,3258,810,62,118,10,0,0,-1,34.8,63,-7
166,27320,0.022,1165,2530,3328,840,61,90,9,0,0,-1,34,63,-38
171,26870,0.022,1141,2537,3314,836,63,93,8,0,0,-1,33.6,64,-41
176,26320,0.022,1070,2566,3233,803,64,124,9,0,0,-1,32.9,63,-22
181,25740,0.022,1004,2576,3187,782,63,145,10,0,0,-1,32.3,63,-17
186,25250,0.021,1018,2569,3210,794,61,134,11,0,0,-1,32.2,63,2
191,25010,0.021,1094,2526,3319,841,57,90,11,0,0,-1,32.6,64,-44
196,24710,0.021,1141,2498,3357,856,55,77,12,0,0,-1,32.5,64,-45
201,25300,0.021,1113,2539,3264,814,55,116,14,0,0,-1,33.2,64,-18
206,25220,0.02,1027,2560,3164,764,54,165,16,0,0,-1,33.4,64,4
211,25290,0.02,991,2564,3108,732,52,198,18,0,0,-1,34,63,0
216,25550,0.019,1011,2545,3163,758,51,172,19,0,0,-1,35.2,64,-1
221,26600,0.019,1079,2537,3162,754,49,175,21,0,0,-1,37,64,-3
226,26230,0.019,1081,2510,3220,781,48,149,22,0,0,-1,37.2,64,-4
231,26410,0.018,1077,2525,3132,734,46,195,25,0,0,-1,38.2,64,4
236,26220,0.017,1019,2518,3123,726,45,201,28,0,0,-1,39.2,64,5
241,26080,0.016,1254,2486,3200,765,44,163,29,0,0,-1,40.7,64,9
246,26460,0.016,1116,2489,3159,741,42,184,32,0,0,-1,42.3,64,-2
251,26440,0.015,1113,2477,3166,745,41,179,35,0,0,-1,43.3,65,8
256,26510,0.015,1140,2417,3264,802,40,123,34,0,0,-1,44.8,66,17
261,26750,0.014,1122,2446,3188,760,39,161,40,0,0,-1,45.5,65,4
266,27170,0.014,1137,2419,3223,779,38,142,41,0,0,-1,46.5,65,9
271,27610,0.014,1120,2470,3217,742,38,177,43,0,0,-1,47.2,66,28
276,28760,0.014,1182,2452,3321,788,39,135,39,0,0,-1,49.2,66,23
281,27770,0.014,1031,2569,3128,593,35,327,45,0,0,-1,48,66,-19
286,27970,0.013,1033,2590,3180,580,35,341,43,0,0,-1,49.1,67,-10
291,27540,0.013,1035,2611,3230,566,35,356,42,0,0,-1,48.9,67,-13
296,26760,0.013,1036,2631,3278,552,35,372,41,0,0,-1,47.6,68,-22
301,26040,0.013,1036,2651,3323,538,35,387,40,0,0,-1,46.1,68,-9
306,25450,0.014,1037,2669,3365,522,35,402,41,0,0,-1,44.6,69,-29
311,24840,0.014,1036,2686,3404,507,35,417,41,0,0,-1,43,69,-20
316,24300,0.014,1035,2701,3439,491,35,432,42,0,0,-1,41.3,69,-12
321,23710,0.014,1034,2715,3470,476,34,446,43,0,0,-1,39.7,69,-3
326,22970,0.014,1033,2726,3498,462,34,461,43,0,0,-1,38.4,69,-17
331,22200,0.014,1032,2735,3520,446,34,476,44,0,0,-1,37.4,69,-10
336,21410,0.014,1030,2742,3538,424,33,500,44,0,0,-1,36.5,69,-5
341,20630,0.014,1028,2747,3551,402,32,523,43,0,0,-1,35.7,69,-18
346,19880,0.014,1027,2749,3559,381,30,546,43,0,0,-1,35,69,-21
351,19480,0.013,1025,2749,3563,360,29,569,42,0,0,-1,34.6,69,-1
